crop_path,crop_split,crop_stem,parent_path,parent_split,parent_stem,evidence,sift_inliers,containment_a_in_b,containment_b_in_a,area_ratio
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_102.jpg,test,SANAS_SOCORRO_102,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_302.jpg,train,SANAS_NUEVAS_302,sift_containment,3567,0.9993405,0.9224681,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_547.jpg,test,SANAS_NUEVAS_547,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_549.jpg,train,SANAS_NUEVAS_549,sift_containment,1364,0.817988,0.46742168,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_506.jpg,test,SANAS_SOCORRO_506,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_610.jpg,train,SANAS_NUEVAS_610,sift_containment,493,0.9991148,0.9991148,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_212.jpg,train,SANAS_SOCORRO_212,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_210.jpg,test,SANAS_SOCORRO_210,sift_containment,1197,0.7504912,1.0506877,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_36.jpg,train,COCO_P_A_36,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_P_A_30.jpg,test,COCO_P_A_30,sift_containment,337,0.877263,0.97473663,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_545.jpg,train,SANAS_NUEVAS_545,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_425.jpg,test,SANAS_SOCORRO_425,sift_containment,2833,0.99883074,1.2712392,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_284.jpg,test,SANAS_NUEVAS_284,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_64.jpg,train,SANAS_SOCORRO_64,sift_containment,900,0.9981837,0.7842872,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_367.jpg,train,SANAS_NUEVAS_367,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_190.jpg,val,SANAS_SOCORRO_190,sift_containment,657,0.9089911,0.7574926,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_536.jpg,train,SANAS_NUEVAS_536,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_406.jpg,val,SANAS_SOCORRO_406,sift_containment,356,0.7790469,0.5393402,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_1.jpg,train,SANAS_NUEVAS_1,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_2.jpg,val,SANAS_SOCORRO_2,sift_containment,691,0.99958014,0.7853844,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_426.jpg,val,SANAS_SOCORRO_426,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_428.jpg,train,SANAS_SOCORRO_428,sift_containment,1862,0.9209285,1.0130213,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_552.jpg,train,SANAS_SOCORRO_436,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_436.jpg,test,SANAS_NUEVAS_552,sift_containment,957,0.91780156,0.6883512,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_202.jpg,train,SANAS_SOCORRO_202,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_203.jpg,val,SANAS_SOCORRO_203,sift_containment,88,0.92130744,0.8554998,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_469.jpg,val,SANAS_NUEVAS_469,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_317.jpg,train,SANAS_SOCORRO_317,sift_containment,983,0.99915504,1.3988171,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_230.jpg,val,SANAS_SOCORRO_230,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_227.jpg,train,SANAS_SOCORRO_227,sift_containment,246,0.91524905,0.9984535,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_301.jpg,val,SANAS_SOCORRO_301,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_302.jpg,train,SANAS_SOCORRO_302,sift_containment,165,0.8424325,1.3238225,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_187.jpg,train,SANAS_SOCORRO_187,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_186.jpg,val,SANAS_SOCORRO_186,sift_containment,134,0.80246437,0.4681042,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_135.jpg,train,SANAS_SOCORRO_135,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_133.jpg,val,SANAS_SOCORRO_133,sift_containment,1295,0.9615644,0.9615644,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_90.jpg,val,SANAS_SOCORRO_90,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_110.jpg,train,SANAS_SOCORRO_110,sift_containment,307,0.7987175,0.9762103,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_482.jpg,test,SANAS_NUEVAS_482,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_335.jpg,val,SANAS_SOCORRO_335,sift_containment,2341,0.9986427,0.7767221,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_182.jpg,test,SANAS_SOCORRO_182,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_179.jpg,train,SANAS_SOCORRO_179,sift_containment,149,0.82763666,0.7172851,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_271.jpg,train,SANAS_NUEVAS_271,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_42.jpg,val,SANAS_SOCORRO_42,sift_containment,284,0.99783134,0.66522086,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_456.jpg,train,SANAS_SOCORRO_302,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_302.jpg,test,SANAS_NUEVAS_456,sift_containment,393,0.9999395,0.6999576,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_476.jpg,val,SANAS_NUEVAS_476,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_326.jpg,train,SANAS_SOCORRO_326,sift_containment,330,0.9996694,1.4995041,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_458.jpg,val,SANAS_NUEVAS_458,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_307.jpg,train,SANAS_SOCORRO_307,sift_containment,109,0.9237505,1.3196436,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_396.jpg,train,SANAS_NUEVAS_396,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_397.jpg,val,SANAS_NUEVAS_397,sift_containment,280,0.92217803,0.8512413,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_27.jpg,train,COCO_P_A_58,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_58.jpg,test,COCO_M_A_27,sift_containment,447,0.8870132,0.8870132,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_567.jpg,train,SANAS_NUEVAS_567,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_456.jpg,val,SANAS_SOCORRO_456,sift_containment,1336,0.9607434,0.7205576,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_FONDO_58.jpg,train,ROYA_FONDO_58,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\ROYA_FONDO_87.jpg,val,ROYA_FONDO_87,sift_containment,563,0.96909124,0.96909124,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_591.jpg,test,SANAS_NUEVAS_591,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_482.jpg,train,SANAS_SOCORRO_482,sift_containment,69,0.97942746,0.65295166,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_554.jpg,test,SANAS_NUEVAS_554,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_439.jpg,train,SANAS_SOCORRO_439,sift_containment,2116,0.9992968,0.6995078,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_511.jpg,train,SANAS_NUEVAS_511,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_369.jpg,val,SANAS_SOCORRO_369,sift_containment,418,0.999147,0.7266523,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_489.jpg,train,SANAS_SOCORRO_343,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_343.jpg,test,SANAS_NUEVAS_489,sift_containment,1462,0.99968517,0.66645676,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_25.jpg,test,COCO_M_A_25,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_83.jpg,train,COCO_M_A_83,sift_containment,124,0.9607948,0.67255634,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_385.jpg,test,SANAS_NUEVAS_385,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_213.jpg,train,SANAS_SOCORRO_213,sift_containment,1705,0.9994456,0.92256516,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_441.jpg,train,SANAS_NUEVAS_441,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_282.jpg,val,SANAS_SOCORRO_282,sift_containment,243,0.998914,0.7491855,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_548.jpg,test,SANAS_NUEVAS_548,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_419.jpg,val,SANAS_SOCORRO_419,sift_containment,103,0.9013174,0.81118566,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_425.jpg,test,SANAS_SOCORRO_425,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_426.jpg,val,SANAS_SOCORRO_426,sift_containment,2326,0.9913588,0.9913588,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_346.jpg,train,SANAS_NUEVAS_346,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_342.jpg,val,SANAS_NUEVAS_342,sift_containment,1108,0.97025496,0.97025496,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_424.jpg,train,SANAS_SOCORRO_424,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_426.jpg,val,SANAS_SOCORRO_426,sift_containment,1471,0.94477844,0.94477844,
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_104.jpg,train,SANAS_SOCORRO_104,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_105.jpg,val,SANAS_SOCORRO_105,sift_containment,2464,0.9717744,0.8970225,
