index,filepath,split,stem
0,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_1.jpg,train,COCO_M_A_1
1,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_101.jpg,train,COCO_M_A_101
2,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_104.jpg,train,COCO_M_A_104
3,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_11.jpg,train,COCO_M_A_11
4,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_12.jpg,train,COCO_M_A_12
5,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_14.jpg,train,COCO_M_A_14
6,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_15.jpg,train,COCO_M_A_15
7,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_17.jpg,train,COCO_M_A_17
8,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_18.jpg,train,COCO_M_A_18
9,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_19.jpg,train,COCO_M_A_19
10,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_20.jpg,train,COCO_M_A_20
11,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_21.jpg,train,COCO_M_A_21
12,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_23.jpg,train,COCO_M_A_23
13,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_24.jpg,train,COCO_M_A_24
14,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_26.jpg,train,COCO_M_A_26
15,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_28.jpg,train,COCO_M_A_28
16,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_29.jpg,train,COCO_M_A_29
17,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_31.jpg,train,COCO_M_A_31
18,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_32.jpg,train,COCO_M_A_32
19,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_33.jpg,train,COCO_M_A_33
20,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_38.jpg,train,COCO_M_A_38
21,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_4.jpg,train,COCO_M_A_4
22,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_40.jpg,train,COCO_M_A_40
23,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_41.jpg,train,COCO_M_A_41
24,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_42.jpg,train,COCO_M_A_42
25,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_43.jpg,train,COCO_M_A_43
26,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_44.jpg,train,COCO_M_A_44
27,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_45.jpg,train,COCO_M_A_45
28,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_46.jpg,train,COCO_M_A_46
29,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_47.jpg,train,COCO_M_A_47
30,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_48.jpg,train,COCO_M_A_48
31,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_49.jpg,train,COCO_M_A_49
32,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_50.jpg,train,COCO_M_A_50
33,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_51.jpg,train,COCO_M_A_51
34,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_53.jpg,train,COCO_M_A_53
35,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_54.jpg,train,COCO_M_A_54
36,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_55.jpg,train,COCO_M_A_55
37,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_59.jpg,train,COCO_M_A_59
38,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_6.jpg,train,COCO_M_A_6
39,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_61.jpg,train,COCO_M_A_61
40,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_62.jpg,train,COCO_M_A_62
41,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_63.jpg,train,COCO_M_A_63
42,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_67.jpg,train,COCO_M_A_67
43,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_68.jpg,train,COCO_M_A_68
44,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_69.jpg,train,COCO_M_A_69
45,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_70.jpg,train,COCO_M_A_70
46,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_71.jpg,train,COCO_M_A_71
47,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_72.jpg,train,COCO_M_A_72
