filepath,split,stem,phash,phash_flip,dhash
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_1.jpg,train,COCO_M_A_1,14702343984535562624,11059823226237660383,10743772379681102722
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_101.jpg,train,COCO_M_A_101,10448749415058285647,14147002074289860874,2623137064610408174
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_104.jpg,train,COCO_M_A_104,13495460379774084531,17157818220164329634,2607210414235394720
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_11.jpg,train,COCO_M_A_11,18032559965124716491,12328534617230750366,16426308895392719868
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_12.jpg,train,COCO_M_A_12,14022079932540962650,10938181625865409039,15583408447490383548
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_14.jpg,train,COCO_M_A_14,14812001412855184496,11014566207155890477,2061117255350905965
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_15.jpg,train,COCO_M_A_15,18279457958824383060,12139729041015310081,14451309299491059906
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_17.jpg,train,COCO_M_A_17,14136165029624800342,10482667339814909251,12184518724469854084
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_18.jpg,train,COCO_M_A_18,12277325436901753135,18389471795187078250,3485821710421753858
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_19.jpg,train,COCO_M_A_19,11362384618415994744,14481915904910715437,11069152450614610715
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_20.jpg,train,COCO_M_A_20,12142104269610838014,18290293005968806571,8387023381517946584
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_21.jpg,train,COCO_M_A_21,9621710246044958871,15047510593314117057,12148753646736754952
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_23.jpg,train,COCO_M_A_23,18069995450611043896,12650840372810734381,17363888839551412464
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_24.jpg,train,COCO_M_A_24,15168863956652481724,9788560818536188329,1740342051100092704
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_26.jpg,train,COCO_M_A_26,17891329819089623347,12474567416101571686,18156526746381974007
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_28.jpg,train,COCO_M_A_28,13153031120551209562,16419457147496676111,14691716510508246003
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_29.jpg,train,COCO_M_A_29,17338724483309982811,11946593339741721486,11200723826762871410
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_31.jpg,train,COCO_M_A_31,17358781245904033170,11940048424017324171,3709943934882113517
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_32.jpg,train,COCO_M_A_32,10485921619246753132,14145858599408103449,2677182459126437455
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_33.jpg,train,COCO_M_A_33,10740782520322288275,13860304615412441028,5612509501064704883
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_38.jpg,train,COCO_M_A_38,10669788830257351242,13926785043285333775,8233444409349279105
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_4.jpg,train,COCO_M_A_4,16425156366722603264,12980699474327784789,7258023261266793018
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_40.jpg,train,COCO_M_A_40,13924911934439767887,10694477869179234842,2946098788125864311
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_41.jpg,train,COCO_M_A_41,10338692795833688973,15721853004167771856,12019557679955123460
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_42.jpg,train,COCO_M_A_42,17887667910334447807,12495402386331194858,12536878857902682748
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_43.jpg,train,COCO_M_A_43,16116195061754129066,9871168279489752479,14016836532286887878
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_44.jpg,train,COCO_M_A_44,11627537740158300235,17584334352220170142,14812100791663337488
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_45.jpg,train,COCO_M_A_45,10955809224803917111,14510192437877000290,9569738585696200142
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_46.jpg,train,COCO_M_A_46,10217080335865508114,15681262578845164631,6493693810125082947
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_47.jpg,train,COCO_M_A_47,14037837118810830439,10918202341464629794,17748170594522668282
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_48.jpg,train,COCO_M_A_48,15200063923465864864,9773986361827439525,8594890361875629685
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_49.jpg,train,COCO_M_A_49,11377265813691069669,14461480271164481968,7533969180350418572
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_50.jpg,train,COCO_M_A_50,17989848946404579093,12465573545956354786,17063831008179351005
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_51.jpg,train,COCO_M_A_51,9728966611158459355,15154945638227588238,5844294669354373796
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_53.jpg,train,COCO_M_A_53,17374448563150430146,11820583150368934551,12011002598550956321
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_54.jpg,train,COCO_M_A_54,16895119152410150208,13775051175401066655,11020582036454537288
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_55.jpg,train,COCO_M_A_55,17948745019854589280,12412929012382030389,16922143142630517101
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_59.jpg,train,COCO_M_A_59,18246845111751852605,12280900162315786088,8210309446152355711
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_6.jpg,train,COCO_M_A_6,14138610154907865695,10476422044916827914,10474588992251039244
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_61.jpg,train,COCO_M_A_61,12554693453744507424,18117539644626197861,9564599535831361626
