stem,split,prefix,trailing_number,source,roya_count,coco_count,minador_count,total_annots,is_background
COCO_M_A_1,train,COCO_M_A,1,own_field,0,27,0,27,False
COCO_M_A_101,train,COCO_M_A,101,own_field,1,18,0,19,False
COCO_M_A_104,train,COCO_M_A,104,own_field,0,7,0,7,False
COCO_M_A_11,train,COCO_M_A,11,own_field,0,17,0,17,False
COCO_M_A_12,train,COCO_M_A,12,own_field,1,5,0,6,False
COCO_M_A_14,train,COCO_M_A,14,own_field,0,9,0,9,False
COCO_M_A_15,train,COCO_M_A,15,own_field,1,13,0,14,False
COCO_M_A_17,train,COCO_M_A,17,own_field,3,8,0,11,False
COCO_M_A_18,train,COCO_M_A,18,own_field,0,20,0,20,False
COCO_M_A_19,train,COCO_M_A,19,own_field,0,18,0,18,False
COCO_M_A_20,train,COCO_M_A,20,own_field,1,16,0,17,False
COCO_M_A_21,train,COCO_M_A,21,own_field,0,12,0,12,False
COCO_M_A_23,train,COCO_M_A,23,own_field,0,14,0,14,False
COCO_M_A_24,train,COCO_M_A,24,own_field,1,28,0,29,False
COCO_M_A_26,train,COCO_M_A,26,own_field,0,14,0,14,False
COCO_M_A_28,train,COCO_M_A,28,own_field,3,33,0,36,False
COCO_M_A_29,train,COCO_M_A,29,own_field,1,13,0,14,False
COCO_M_A_31,train,COCO_M_A,31,own_field,0,10,0,10,False
COCO_M_A_32,train,COCO_M_A,32,own_field,0,22,0,22,False
COCO_M_A_33,train,COCO_M_A,33,own_field,0,5,0,5,False
COCO_M_A_38,train,COCO_M_A,38,own_field,0,15,0,15,False
COCO_M_A_4,train,COCO_M_A,4,own_field,1,18,0,19,False
COCO_M_A_40,train,COCO_M_A,40,own_field,0,4,0,4,False
COCO_M_A_41,train,COCO_M_A,41,own_field,2,12,0,14,False
COCO_M_A_42,train,COCO_M_A,42,own_field,1,16,0,17,False
COCO_M_A_43,train,COCO_M_A,43,own_field,0,12,0,12,False
COCO_M_A_44,train,COCO_M_A,44,own_field,0,13,0,13,False
COCO_M_A_45,train,COCO_M_A,45,own_field,0,32,0,32,False
COCO_M_A_46,train,COCO_M_A,46,own_field,0,12,0,12,False
COCO_M_A_47,train,COCO_M_A,47,own_field,5,25,0,30,False
COCO_M_A_48,train,COCO_M_A,48,own_field,0,22,0,22,False
COCO_M_A_49,train,COCO_M_A,49,own_field,0,15,0,15,False
COCO_M_A_50,train,COCO_M_A,50,own_field,0,16,0,16,False
COCO_M_A_51,train,COCO_M_A,51,own_field,0,16,0,16,False
COCO_M_A_53,train,COCO_M_A,53,own_field,0,10,0,10,False
COCO_M_A_54,train,COCO_M_A,54,own_field,1,19,0,20,False
COCO_M_A_55,train,COCO_M_A,55,own_field,1,9,0,10,False
COCO_M_A_59,train,COCO_M_A,59,own_field,1,18,0,19,False
COCO_M_A_6,train,COCO_M_A,6,own_field,0,10,0,10,False
COCO_M_A_61,train,COCO_M_A,61,own_field,0,17,0,17,False
COCO_M_A_62,train,COCO_M_A,62,own_field,0,26,0,26,False
COCO_M_A_63,train,COCO_M_A,63,own_field,1,14,0,15,False
COCO_M_A_67,train,COCO_M_A,67,own_field,0,12,0,12,False
COCO_M_A_68,train,COCO_M_A,68,own_field,0,17,0,17,False
COCO_M_A_69,train,COCO_M_A,69,own_field,0,13,0,13,False
COCO_M_A_70,train,COCO_M_A,70,own_field,2,9,0,11,False
COCO_M_A_71,train,COCO_M_A,71,own_field,1,13,0,14,False
COCO_M_A_72,train,COCO_M_A,72,own_field,0,14,0,14,False
COCO_M_A_73,train,COCO_M_A,73,own_field,0,18,0,18,False
COCO_M_A_74,train,COCO_M_A,74,own_field,0,15,0,15,False
COCO_M_A_75,train,COCO_M_A,75,own_field,0,17,0,17,False
COCO_M_A_78,train,COCO_M_A,78,own_field,0,8,0,8,False
COCO_M_A_79,train,COCO_M_A,79,own_field,0,11,0,11,False
COCO_M_A_8,train,COCO_M_A,8,own_field,0,6,0,6,False
COCO_M_A_80,train,COCO_M_A,80,own_field,0,14,0,14,False
COCO_M_A_82,train,COCO_M_A,82,own_field,0,8,0,8,False
COCO_M_A_83,train,COCO_M_A,83,own_field,0,6,0,6,False
COCO_M_A_85,train,COCO_M_A,85,own_field,0,16,0,16,False
COCO_M_A_86,train,COCO_M_A,86,own_field,2,11,0,13,False
COCO_M_A_87,train,COCO_M_A,87,own_field,1,11,0,12,False
COCO_M_A_88,train,COCO_M_A,88,own_field,0,7,0,7,False
COCO_M_A_93,train,COCO_M_A,93,own_field,1,16,0,17,False
COCO_M_A_94,train,COCO_M_A,94,own_field,0,15,0,15,False
COCO_M_A_95,train,COCO_M_A,95,own_field,0,10,0,10,False
COCO_M_A_97,train,COCO_M_A,97,own_field,2,12,0,14,False
COCO_M_A_98,train,COCO_M_A,98,own_field,0,4,0,4,False
COCO_M_A_99,train,COCO_M_A,99,own_field,1,16,0,17,False
COCO_Muy_A_1,train,COCO_Muy_A,1,own_field,3,31,0,34,False
COCO_Muy_A_100,train,COCO_Muy_A,100,own_field,2,41,0,43,False
COCO_Muy_A_101,train,COCO_Muy_A,101,own_field,0,43,0,43,False
COCO_Muy_A_102,train,COCO_Muy_A,102,own_field,0,24,0,24,False
COCO_Muy_A_105,train,COCO_Muy_A,105,own_field,0,22,0,22,False
COCO_Muy_A_106,train,COCO_Muy_A,106,own_field,0,14,0,14,False
COCO_Muy_A_107,train,COCO_Muy_A,107,own_field,0,44,0,44,False
COCO_Muy_A_108,train,COCO_Muy_A,108,own_field,0,11,0,11,False
COCO_Muy_A_109,train,COCO_Muy_A,109,own_field,2,35,0,37,False
COCO_Muy_A_11,train,COCO_Muy_A,11,own_field,0,14,0,14,False
COCO_Muy_A_110,train,COCO_Muy_A,110,own_field,3,18,0,21,False
COCO_Muy_A_114,train,COCO_Muy_A,114,own_field,1,29,0,30,False
COCO_Muy_A_12,train,COCO_Muy_A,12,own_field,1,19,0,20,False
COCO_Muy_A_13,train,COCO_Muy_A,13,own_field,2,31,0,33,False
COCO_Muy_A_15,train,COCO_Muy_A,15,own_field,0,58,0,58,False
COCO_Muy_A_16,train,COCO_Muy_A,16,own_field,1,41,0,42,False
COCO_Muy_A_2,train,COCO_Muy_A,2,own_field,0,54,0,54,False
COCO_Muy_A_20,train,COCO_Muy_A,20,own_field,0,24,0,24,False
COCO_Muy_A_21,train,COCO_Muy_A,21,own_field,0,59,0,59,False
COCO_Muy_A_22,train,COCO_Muy_A,22,own_field,0,34,0,34,False
COCO_Muy_A_23,train,COCO_Muy_A,23,own_field,0,44,0,44,False
COCO_Muy_A_24,train,COCO_Muy_A,24,own_field,0,23,0,23,False
COCO_Muy_A_25,train,COCO_Muy_A,25,own_field,0,24,0,24,False
COCO_Muy_A_26,train,COCO_Muy_A,26,own_field,0,14,0,14,False
COCO_Muy_A_27,train,COCO_Muy_A,27,own_field,3,28,0,31,False
COCO_Muy_A_3,train,COCO_Muy_A,3,own_field,0,25,0,25,False
COCO_Muy_A_31,train,COCO_Muy_A,31,own_field,5,41,0,46,False
COCO_Muy_A_35,train,COCO_Muy_A,35,own_field,2,37,0,39,False
COCO_Muy_A_36,train,COCO_Muy_A,36,own_field,0,42,0,42,False
COCO_Muy_A_43,train,COCO_Muy_A,43,own_field,0,15,0,15,False
COCO_Muy_A_44,train,COCO_Muy_A,44,own_field,0,53,0,53,False
COCO_Muy_A_45,train,COCO_Muy_A,45,own_field,0,78,0,78,False
COCO_Muy_A_49,train,COCO_Muy_A,49,own_field,0,15,0,15,False
COCO_Muy_A_5,train,COCO_Muy_A,5,own_field,0,24,0,24,False
COCO_Muy_A_50,train,COCO_Muy_A,50,own_field,0,8,0,8,False
COCO_Muy_A_52,train,COCO_Muy_A,52,own_field,0,23,0,23,False
COCO_Muy_A_53,train,COCO_Muy_A,53,own_field,0,43,0,43,False
COCO_Muy_A_56,train,COCO_Muy_A,56,own_field,0,26,0,26,False
COCO_Muy_A_57,train,COCO_Muy_A,57,own_field,2,14,0,16,False
COCO_Muy_A_60,train,COCO_Muy_A,60,own_field,2,22,0,24,False
COCO_Muy_A_62,train,COCO_Muy_A,62,own_field,0,22,0,22,False
COCO_Muy_A_64,train,COCO_Muy_A,64,own_field,0,38,0,38,False
COCO_Muy_A_66,train,COCO_Muy_A,66,own_field,0,41,0,41,False
COCO_Muy_A_67,train,COCO_Muy_A,67,own_field,0,15,0,15,False
COCO_Muy_A_68,train,COCO_Muy_A,68,own_field,0,22,0,22,False
COCO_Muy_A_69,train,COCO_Muy_A,69,own_field,1,30,0,31,False
COCO_Muy_A_71,train,COCO_Muy_A,71,own_field,0,15,0,15,False
COCO_Muy_A_72,train,COCO_Muy_A,72,own_field,0,18,0,18,False
COCO_Muy_A_73,train,COCO_Muy_A,73,own_field,0,26,0,26,False
COCO_Muy_A_74,train,COCO_Muy_A,74,own_field,0,35,0,35,False
COCO_Muy_A_75,train,COCO_Muy_A,75,own_field,3,45,0,48,False
COCO_Muy_A_77,train,COCO_Muy_A,77,own_field,0,27,0,27,False
COCO_Muy_A_78,train,COCO_Muy_A,78,own_field,0,19,0,19,False
COCO_Muy_A_8,train,COCO_Muy_A,8,own_field,0,14,0,14,False
COCO_Muy_A_81,train,COCO_Muy_A,81,own_field,1,33,0,34,False
COCO_Muy_A_83,train,COCO_Muy_A,83,own_field,0,26,0,26,False
COCO_Muy_A_86,train,COCO_Muy_A,86,own_field,0,21,0,21,False
COCO_Muy_A_87,train,COCO_Muy_A,87,own_field,3,31,0,34,False
COCO_Muy_A_88,train,COCO_Muy_A,88,own_field,0,41,0,41,False
COCO_Muy_A_89,train,COCO_Muy_A,89,own_field,0,28,0,28,False
COCO_Muy_A_9,train,COCO_Muy_A,9,own_field,0,20,0,20,False
COCO_Muy_A_91,train,COCO_Muy_A,91,own_field,0,13,0,13,False
COCO_Muy_A_92,train,COCO_Muy_A,92,own_field,0,28,0,28,False
COCO_Muy_A_93,train,COCO_Muy_A,93,own_field,0,32,0,32,False
