img_a_path,img_a_split,img_a_stem,img_a_prefix,img_a_source,img_b_path,img_b_split,img_b_stem,img_b_prefix,img_b_source,label_count_a_roya,label_count_a_coco,label_count_a_minador,label_count_b_roya,label_count_b_coco,label_count_b_minador,phash_dist,dhash_dist,cosine_sim,sift_inliers,containment_a_in_b,containment_b_in_a
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_550.jpg,train,SANAS_NUEVAS_551,SANAS,"{'filename': 'SANAS_NUEVAS_551.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '6d068b641d345d1ff2505a83d54b0628e57de926a18f8f58c55fdc6b7052a59e', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '896'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_551.jpg,test,SANAS_NUEVAS_550,SANAS,"{'filename': 'SANAS_NUEVAS_550.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'ba6d155f7713608816d0fad373cf6eeaaeaa4ec5fe9c6a3de5788f35ad6907eb', 'n_annotations': '0', 'class_ids_present': '', 'width': '896', 'height': '960'}",0,0,0,0,0,0,12,31,0.9266805052757263,7608,0.9699632,0.9699632
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_89.jpg,train,SANAS_SOCORRO_89,SANAS,"{'filename': 'SANAS_SOCORRO_89.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'cdd76569dbf6ffe7a65c71ca67bb324905b31f87e78a65e7dff49dc6708c15ef', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '704'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_90.jpg,val,SANAS_SOCORRO_90,SANAS,"{'filename': 'SANAS_SOCORRO_90.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '543266f39df97b3277003f9c96f8a9059516ca4c76aa9289df1f769cdce6546a', 'n_annotations': '0', 'class_ids_present': '', 'width': '704', 'height': '960'}",0,0,0,0,0,0,-1,-1,0.9335758090019226,4266,0.8425527,0.8425527
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_347.jpg,train,SANAS_NUEVAS_347,SANAS,"{'filename': 'SANAS_NUEVAS_347.jpg', 'split': 'test', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '0363cd9eacf39902427dd2b53344ae4ced31399428bb8e1fb180b36c21904b0d', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '768'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_167.jpg,val,SANAS_SOCORRO_167,SANAS,"{'filename': 'SANAS_SOCORRO_167.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '709be59e544a3e17170aed059400923f225edd908591b0cee8508155a03925ae', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '832'}",0,0,0,0,0,0,-1,-1,0.9173406362533569,3589,0.9993834,1.0826653
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_102.jpg,test,SANAS_SOCORRO_102,SANAS,"{'filename': 'SANAS_SOCORRO_102.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '91d0743528c8eda528f91863101f02e8be56ea2851b378bbb558a5aec5d13912', 'n_annotations': '0', 'class_ids_present': '', 'width': '832', 'height': '960'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_302.jpg,train,SANAS_NUEVAS_302,SANAS,"{'filename': 'SANAS_NUEVAS_302.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '82a40779901e5363132e609f80381c6968cb5160b8c804857c6c1e1451f590f6', 'n_annotations': '0', 'class_ids_present': '', 'width': '768', 'height': '960'}",0,0,0,0,0,0,-1,-1,0.9357263445854187,3567,0.9993405,0.9224681
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_335.jpg,train,SANAS_NUEVAS_335,SANAS,"{'filename': 'SANAS_NUEVAS_335.jpg', 'split': 'val', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '391d8f73d5ae75e1eb932c11b3dba9789a58ca6ac16615d1d269706f5912b839', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '960'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_153.jpg,val,SANAS_SOCORRO_153,SANAS,"{'filename': 'SANAS_SOCORRO_153.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '1cb6cdea9783096e0130831657c2d17bce6574f104c7a379469af279459ba31d', 'n_annotations': '0', 'class_ids_present': '', 'width': '704', 'height': '960'}",0,0,0,0,0,0,0,0,0.9987238645553589,3563,0.999921,0.7332754
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_331.jpg,train,SANAS_SOCORRO_147,SANAS,"{'filename': 'SANAS_SOCORRO_147.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '5e60968de56fdf4b7eaf2698d48938a077ac500b7ee588a604f9faa0e9970f33', 'n_annotations': '0', 'class_ids_present': '', 'width': '704', 'height': '960'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_147.jpg,test,SANAS_NUEVAS_331,SANAS,"{'filename': 'SANAS_NUEVAS_331.jpg', 'split': 'val', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'c2924fb3ba10e619d87772ca7863b9768000160e039ed1d82b869a1e96809a3c', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '896'}",0,0,0,0,0,0,0,0,0.9991714954376221,3478,0.9997923,0.7855511
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_305.jpg,test,SANAS_NUEVAS_305,SANAS,"{'filename': 'SANAS_NUEVAS_305.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'adeb878cf931a2258614c6336b0cda7c43a8756a03975e3bd9a24cec7290c79f', 'n_annotations': '0', 'class_ids_present': '', 'width': '768', 'height': '960'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_108.jpg,train,SANAS_SOCORRO_108,SANAS,"{'filename': 'SANAS_SOCORRO_108.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '7a9d974aad04830edf7dece27b9bdfe5fcde978d52d9c828589286fcc184663d', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '832'}",0,0,0,0,0,0,-1,-1,0.9352269172668457,3473,0.99884254,1.0820794
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_88.jpg,train,SANAS_SOCORRO_88,SANAS,"{'filename': 'SANAS_SOCORRO_88.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'b9fa7087f8485c7955b05d05c129bb95f9829e2e61b47729752033025e9f87bf', 'n_annotations': '0', 'class_ids_present': '', 'width': '704', 'height': '960'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_90.jpg,val,SANAS_SOCORRO_90,SANAS,"{'filename': 'SANAS_SOCORRO_90.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '543266f39df97b3277003f9c96f8a9059516ca4c76aa9289df1f769cdce6546a', 'n_annotations': '0', 'class_ids_present': '', 'width': '704', 'height': '960'}",0,0,0,0,0,0,-1,-1,0.9303172826766968,3186,0.8416368,0.8416368
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_430.jpg,test,SANAS_SOCORRO_430,SANAS,"{'filename': 'SANAS_SOCORRO_430.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'ecd1f925fe3e549c7a4caffc5bfd26a81932288aebdb18418b484a3652ee3173', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '704'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_431.jpg,train,SANAS_SOCORRO_431,SANAS,"{'filename': 'SANAS_SOCORRO_431.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '1a7808c6fd93e15588c3a6ad4e4301a230a58d4481540371dd402a95dd1522a1', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '960'}",0,0,0,0,0,0,-1,-1,0.9550053477287292,3184,0.98802817,1.3473111
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_156.jpg,train,SANAS_NUEVAS_338,SANAS,"{'filename': 'SANAS_NUEVAS_338.jpg', 'split': 'val', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': 'fe5dd08621582e74ae4ccbae0f1c245cbd640a4c06a00576b933d06aaae4ca05', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '704'}",C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_338.jpg,test,SANAS_SOCORRO_156,SANAS,"{'filename': 'SANAS_SOCORRO_156.jpg', 'split': 'train', 'inferred_source': 'own_field', 'provenance_evidence': 'declared_by_author', 'sha256': '7217b67f3a1960891ee61c729bd024f120cd695d5c0c8478dcae20461809d848', 'n_annotations': '0', 'class_ids_present': '', 'width': '960', 'height': '512'}",0,0,0,0,0,0,0,0,0.99857497215271,3180,0.9998328,1.37477
