stem,split,session_id,timestamp_used,session_source
COCO_M_A_1,train,unplaceable,,unplaceable
COCO_M_A_101,train,unplaceable,,unplaceable
COCO_M_A_104,train,unplaceable,,unplaceable
COCO_M_A_11,train,unplaceable,,unplaceable
COCO_M_A_12,train,unplaceable,,unplaceable
COCO_M_A_14,train,unplaceable,,unplaceable
COCO_M_A_15,train,unplaceable,,unplaceable
COCO_M_A_17,train,unplaceable,,unplaceable
COCO_M_A_18,train,unplaceable,,unplaceable
COCO_M_A_19,train,unplaceable,,unplaceable
COCO_M_A_20,train,unplaceable,,unplaceable
COCO_M_A_21,train,unplaceable,,unplaceable
COCO_M_A_23,train,unplaceable,,unplaceable
COCO_M_A_24,train,unplaceable,,unplaceable
COCO_M_A_26,train,unplaceable,,unplaceable
COCO_M_A_28,train,unplaceable,,unplaceable
COCO_M_A_29,train,unplaceable,,unplaceable
COCO_M_A_31,train,unplaceable,,unplaceable
COCO_M_A_32,train,unplaceable,,unplaceable
COCO_M_A_33,train,unplaceable,,unplaceable
COCO_M_A_38,train,unplaceable,,unplaceable
COCO_M_A_4,train,unplaceable,,unplaceable
COCO_M_A_40,train,unplaceable,,unplaceable
COCO_M_A_41,train,unplaceable,,unplaceable
COCO_M_A_42,train,unplaceable,,unplaceable
COCO_M_A_43,train,unplaceable,,unplaceable
COCO_M_A_44,train,unplaceable,,unplaceable
COCO_M_A_45,train,unplaceable,,unplaceable
COCO_M_A_46,train,unplaceable,,unplaceable
COCO_M_A_47,train,unplaceable,,unplaceable
COCO_M_A_48,train,unplaceable,,unplaceable
COCO_M_A_49,train,unplaceable,,unplaceable
COCO_M_A_50,train,unplaceable,,unplaceable
COCO_M_A_51,train,unplaceable,,unplaceable
COCO_M_A_53,train,unplaceable,,unplaceable
COCO_M_A_54,train,unplaceable,,unplaceable
COCO_M_A_55,train,unplaceable,,unplaceable
COCO_M_A_59,train,unplaceable,,unplaceable
COCO_M_A_6,train,unplaceable,,unplaceable
COCO_M_A_61,train,unplaceable,,unplaceable
COCO_M_A_62,train,unplaceable,,unplaceable
COCO_M_A_63,train,unplaceable,,unplaceable
COCO_M_A_67,train,unplaceable,,unplaceable
COCO_M_A_68,train,unplaceable,,unplaceable
COCO_M_A_69,train,unplaceable,,unplaceable
COCO_M_A_70,train,unplaceable,,unplaceable
COCO_M_A_71,train,unplaceable,,unplaceable
COCO_M_A_72,train,unplaceable,,unplaceable
COCO_M_A_73,train,unplaceable,,unplaceable
COCO_M_A_74,train,unplaceable,,unplaceable
COCO_M_A_75,train,unplaceable,,unplaceable
COCO_M_A_78,train,unplaceable,,unplaceable
COCO_M_A_79,train,unplaceable,,unplaceable
COCO_M_A_8,train,unplaceable,,unplaceable
COCO_M_A_80,train,unplaceable,,unplaceable
COCO_M_A_82,train,unplaceable,,unplaceable
COCO_M_A_83,train,unplaceable,,unplaceable
COCO_M_A_85,train,unplaceable,,unplaceable
COCO_M_A_86,train,unplaceable,,unplaceable
COCO_M_A_87,train,unplaceable,,unplaceable
COCO_M_A_88,train,unplaceable,,unplaceable
COCO_M_A_93,train,unplaceable,,unplaceable
COCO_M_A_94,train,unplaceable,,unplaceable
COCO_M_A_95,train,unplaceable,,unplaceable
COCO_M_A_97,train,unplaceable,,unplaceable
COCO_M_A_98,train,unplaceable,,unplaceable
COCO_M_A_99,train,unplaceable,,unplaceable
COCO_Muy_A_1,train,unplaceable,,unplaceable
COCO_Muy_A_100,train,unplaceable,,unplaceable
COCO_Muy_A_101,train,unplaceable,,unplaceable
COCO_Muy_A_102,train,unplaceable,,unplaceable
COCO_Muy_A_105,train,unplaceable,,unplaceable
COCO_Muy_A_106,train,unplaceable,,unplaceable
COCO_Muy_A_107,train,unplaceable,,unplaceable
COCO_Muy_A_108,train,unplaceable,,unplaceable
COCO_Muy_A_109,train,unplaceable,,unplaceable
COCO_Muy_A_11,train,unplaceable,,unplaceable
COCO_Muy_A_110,train,unplaceable,,unplaceable
COCO_Muy_A_114,train,unplaceable,,unplaceable
COCO_Muy_A_12,train,unplaceable,,unplaceable
COCO_Muy_A_13,train,unplaceable,,unplaceable
COCO_Muy_A_15,train,unplaceable,,unplaceable
COCO_Muy_A_16,train,unplaceable,,unplaceable
COCO_Muy_A_2,train,unplaceable,,unplaceable
COCO_Muy_A_20,train,unplaceable,,unplaceable
COCO_Muy_A_21,train,unplaceable,,unplaceable
COCO_Muy_A_22,train,unplaceable,,unplaceable
COCO_Muy_A_23,train,unplaceable,,unplaceable
COCO_Muy_A_24,train,unplaceable,,unplaceable
COCO_Muy_A_25,train,unplaceable,,unplaceable
COCO_Muy_A_26,train,unplaceable,,unplaceable
COCO_Muy_A_27,train,unplaceable,,unplaceable
COCO_Muy_A_3,train,unplaceable,,unplaceable
COCO_Muy_A_31,train,unplaceable,,unplaceable
COCO_Muy_A_35,train,unplaceable,,unplaceable
COCO_Muy_A_36,train,unplaceable,,unplaceable
COCO_Muy_A_43,train,unplaceable,,unplaceable
COCO_Muy_A_44,train,unplaceable,,unplaceable
COCO_Muy_A_45,train,unplaceable,,unplaceable
COCO_Muy_A_49,train,unplaceable,,unplaceable
COCO_Muy_A_5,train,unplaceable,,unplaceable
COCO_Muy_A_50,train,unplaceable,,unplaceable
COCO_Muy_A_52,train,unplaceable,,unplaceable
COCO_Muy_A_53,train,unplaceable,,unplaceable
COCO_Muy_A_56,train,unplaceable,,unplaceable
COCO_Muy_A_57,train,unplaceable,,unplaceable
COCO_Muy_A_60,train,unplaceable,,unplaceable
COCO_Muy_A_62,train,unplaceable,,unplaceable
COCO_Muy_A_64,train,unplaceable,,unplaceable
COCO_Muy_A_66,train,unplaceable,,unplaceable
COCO_Muy_A_67,train,unplaceable,,unplaceable
COCO_Muy_A_68,train,unplaceable,,unplaceable
COCO_Muy_A_69,train,unplaceable,,unplaceable
COCO_Muy_A_71,train,unplaceable,,unplaceable
COCO_Muy_A_72,train,unplaceable,,unplaceable
COCO_Muy_A_73,train,unplaceable,,unplaceable
COCO_Muy_A_74,train,unplaceable,,unplaceable
COCO_Muy_A_75,train,unplaceable,,unplaceable
COCO_Muy_A_77,train,unplaceable,,unplaceable
COCO_Muy_A_78,train,unplaceable,,unplaceable
COCO_Muy_A_8,train,unplaceable,,unplaceable
COCO_Muy_A_81,train,unplaceable,,unplaceable
COCO_Muy_A_83,train,unplaceable,,unplaceable
COCO_Muy_A_86,train,unplaceable,,unplaceable
COCO_Muy_A_87,train,unplaceable,,unplaceable
COCO_Muy_A_88,train,unplaceable,,unplaceable
COCO_Muy_A_89,train,unplaceable,,unplaceable
COCO_Muy_A_9,train,unplaceable,,unplaceable
COCO_Muy_A_91,train,unplaceable,,unplaceable
COCO_Muy_A_92,train,unplaceable,,unplaceable
COCO_Muy_A_93,train,unplaceable,,unplaceable
COCO_Muy_A_96,train,unplaceable,,unplaceable
COCO_Muy_A_99,train,unplaceable,,unplaceable
COCO_P_A_1,train,unplaceable,,unplaceable
COCO_P_A_14,train,unplaceable,,unplaceable
