path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_360.jpg,train,SANAS_SOCORRO_360,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_285.jpg,val,SANAS_NUEVAS_285,-1,-1,0.9297127723693848,12,4,0.3333333333333333,0.03526377,0.0617116,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\ROYA_FONDO_91.jpg,train,ROYA_FONDO_57,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_FONDO_57.jpg,test,ROYA_FONDO_91,24,12,0.9094076156616211,8,4,0.5,0.68254,0.68254,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_102.jpg,test,SANAS_SOCORRO_102,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_99.jpg,train,SANAS_SOCORRO_99,-1,-1,0.9295276999473572,2371,1612,0.6798819063686208,0.93105894,0.859439,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_72.jpg,train,COCO_P_A_72,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_361.jpg,val,SANAS_SOCORRO_361,-1,-1,0.8562361001968384,17,6,0.35294117647058826,0.0023225239,0.0018064075,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_496.jpg,test,SANAS_SOCORRO_496,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINEIRO_84.jpg,train,MINEIRO_84,-1,-1,0.9083900451660156,12,4,0.3333333333333333,0.0150413895,0.016712654,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_310.jpg,train,SANAS_SOCORRO_310,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_368.jpg,val,SANAS_SOCORRO_368,-1,-1,0.9200714230537415,8,4,0.5,7.234474e-05,0.00010334963,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_82.jpg,train,SANAS_SOCORRO_82,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_347.jpg,val,SANAS_SOCORRO_347,-1,-1,0.9394670128822327,4,4,1.0,0.0,0.0,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_26.jpg,train,SANAS_NUEVAS_26,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_21.jpg,val,SANAS_NUEVAS_21,-1,-1,0.9205148220062256,30,6,0.2,0.023146488,0.033433814,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_241.jpg,test,SANAS_NUEVAS_241,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_MA_27.jpg,train,ROYA_MA_27,-1,-1,0.8946420550346375,47,4,0.0851063829787234,3.633045e-08,1.8165226e-08,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_374.jpg,test,SANAS_NUEVAS_374,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_375.jpg,val,SANAS_NUEVAS_375,-1,-1,0.9409812092781067,141,96,0.6808510638297872,0.6167529,0.6641954,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_P_A_33.jpg,train,ROYA_P_A_33,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_M_A_84.jpg,val,COCO_M_A_84,-1,-1,0.867052435874939,9,4,0.4444444444444444,0.05021226,0.05021226,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_78.jpg,train,COCO_M_A_78,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_M_A_30.jpg,val,COCO_M_A_30,-1,-1,0.932030439376831,16,5,0.3125,0.0020273337,0.0020273337,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_497.jpg,train,SANAS_NUEVAS_497,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_413.jpg,val,SANAS_SOCORRO_413,-1,-1,0.9500342011451721,15,5,0.3333333333333333,0.1296339,0.083336085,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_128.jpg,test,SANAS_NUEVAS_128,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\ROYA_P_A_12.jpg,val,ROYA_P_A_12,-1,-1,0.9239658713340759,17,5,0.29411764705882354,0.12105615,0.08804083,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_88.jpg,train,COCO_M_A_88,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_421.jpg,val,SANAS_NUEVAS_421,-1,-1,0.9220245480537415,23,7,0.30434782608695654,2.1192763e-08,2.3119377e-08,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_547.jpg,test,SANAS_NUEVAS_547,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_549.jpg,train,SANAS_NUEVAS_549,-1,-1,0.8898604512214661,1471,1364,0.9272603670972128,0.817988,0.46742168,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_535.jpg,test,SANAS_NUEVAS_535,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_532.jpg,train,SANAS_NUEVAS_532,-1,-1,0.9371901750564575,5,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_RECORTES_14.jpg,train,ROYA_RECORTES_14,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\ROYA_RECORTES_38.jpg,val,ROYA_RECORTES_38,-1,-1,0.8851429224014282,1,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_506.jpg,test,SANAS_SOCORRO_506,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_610.jpg,train,SANAS_NUEVAS_610,-1,-1,0.9564158916473389,512,493,0.962890625,0.9991148,0.9991148,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINEIRO_32.jpg,test,MINEIRO_32,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINEIRO_0.jpg,train,MINEIRO_0,-1,-1,0.895915150642395,32,5,0.15625,1.66893e-06,1.66893e-06,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINADOR_54.jpg,train,SANAS_SOCORRO_444,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_444.jpg,test,MINADOR_54,12,22,-1.0,14,10,0.7142857142857143,1.8649631e-06,2.3978098e-06,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_RECORTE_139.jpg,train,COCO_RECORTE_139,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_RECORTE_63.jpg,val,COCO_RECORTE_63,-1,-1,0.8539421558380127,10,5,0.5,0.0029475093,0.003930012,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_342.jpg,train,SANAS_SOCORRO_342,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_345.jpg,val,SANAS_SOCORRO_345,-1,-1,0.9641032814979553,22,6,0.2727272727272727,0.58392704,0.9175996,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINADOR_29.jpg,test,MINADOR_29,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINEIRO_157.jpg,train,MINEIRO_157,-1,-1,0.9057961702346802,25,5,0.2,3.874302e-07,3.874302e-07,True
