stem,image_path,n_det_conf25,roya_conf25,coco_conf25,minador_conf25,n_det_conf50,roya_conf50,coco_conf50,minador_conf50
SANAS_NUEVAS_300,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_300.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_305,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_305.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_308,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_308.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_317,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_317.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_385,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_385.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_390,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_390.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_49,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_49.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_527,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_527.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_534,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_534.jpg,1,0,1,0,0,0,0,0
SANAS_NUEVAS_535,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_535.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_54,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_54.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_102,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_102.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_109,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_109.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_111,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_111.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_122,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_122.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_124,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_124.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_130,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_130.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_138,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_138.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_139,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_139.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_210,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_210.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_214,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_214.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_218,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_218.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_383,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_383.jpg,0,0,0,0,0,0,0,0
SANAS_SOCORRO_389,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_389.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_301,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_301.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_302,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_302.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_303,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_303.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_304,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_304.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_306,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_306.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_307,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_307.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_309,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_309.jpg,0,0,0,0,0,0,0,0
SANAS_NUEVAS_310,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_310.jpg,0,0,0,0,0,0,0,0
