epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5485,1.75632,2.16982,1.48552,0.02696,0.21349,0.00713,0.00259,2.60755,56.3664,2.90148,0.00329966,0.00329966,0.070303
2,101.026,1.68709,1.78701,1.41695,0.12262,0.51389,0.09774,0.03415,2.28699,31.1072,2.15148,0.00656673,0.00656673,0.0402368
3,149.334,1.64832,1.66267,1.39657,0.30371,0.12264,0.10353,0.05202,2.32246,5.45791,1.9171,0.0097672,0.0097672,0.0101039
4,203.522,1.62432,1.58032,1.36895,0.66286,0.64536,0.69548,0.40993,1.42661,2.25406,1.35162,0.0097003,0.0097003,0.0097003
5,260.212,1.56452,1.4803,1.32491,0.74183,0.64712,0.73016,0.44009,1.47035,1.37898,1.35089,0.0096004,0.0096004,0.0096004
6,318.195,1.56889,1.40047,1.31733,0.66841,0.64888,0.68344,0.38155,1.55844,1.87431,1.37887,0.0095005,0.0095005,0.0095005
7,372.115,1.55886,1.46219,1.33193,0.65475,0.63548,0.69838,0.39034,1.57591,1.82735,1.35655,0.0094006,0.0094006,0.0094006
8,424.597,1.50058,1.32059,1.28632,0.75724,0.68745,0.76844,0.40748,1.66032,1.62243,1.47593,0.0093007,0.0093007,0.0093007
9,477.715,1.51587,1.35577,1.29814,0.66302,0.63515,0.67719,0.37586,1.53715,1.6173,1.38877,0.0092008,0.0092008,0.0092008
10,530.385,1.50197,1.3295,1.29488,0.68224,0.68076,0.7203,0.43733,1.43335,1.47671,1.30619,0.0091009,0.0091009,0.0091009
11,583.695,1.46937,1.28669,1.28602,0.78603,0.70872,0.79433,0.45047,1.55708,1.38997,1.35353,0.009001,0.009001,0.009001
12,637.759,1.44181,1.20338,1.25927,0.78099,0.69732,0.77831,0.43933,1.55514,1.41118,1.34369,0.0089011,0.0089011,0.0089011
13,690.563,1.44876,1.22854,1.26932,0.78589,0.69704,0.80451,0.41916,1.71188,1.21961,1.41665,0.0088012,0.0088012,0.0088012
14,741.396,1.42054,1.19219,1.24908,0.81222,0.76534,0.83577,0.49165,1.47658,1.19585,1.2766,0.0087013,0.0087013,0.0087013
