stem,split_old,split_new,prefix,number,source,roya,coco,minador,group_root
COCO_M_A_1,train,test,COCO_M_A,1,own_field,0,27,0,COCO_M_A_12
COCO_M_A_10,val,test,COCO_M_A,10,own_field,0,9,0,COCO_M_A_12
COCO_M_A_101,train,train,COCO_M_A,101,own_field,1,18,0,COCO_M_A_103
COCO_M_A_103,val,train,COCO_M_A,103,own_field,3,14,0,COCO_M_A_103
COCO_M_A_104,train,train,COCO_M_A,104,own_field,0,7,0,COCO_M_A_103
COCO_M_A_11,train,test,COCO_M_A,11,own_field,0,17,0,COCO_M_A_12
COCO_M_A_12,train,test,COCO_M_A,12,own_field,1,5,0,COCO_M_A_12
COCO_M_A_13,val,test,COCO_M_A,13,own_field,0,17,0,COCO_M_A_12
COCO_M_A_14,train,test,COCO_M_A,14,own_field,0,9,0,COCO_M_A_12
COCO_M_A_15,train,test,COCO_M_A,15,own_field,1,13,0,COCO_M_A_12
COCO_M_A_16,test,test,COCO_M_A,16,own_field,0,6,0,COCO_M_A_12
COCO_M_A_17,train,test,COCO_M_A,17,own_field,3,8,0,COCO_M_A_12
COCO_M_A_18,train,test,COCO_M_A,18,own_field,0,20,0,COCO_M_A_12
COCO_M_A_19,train,test,COCO_M_A,19,own_field,0,18,0,COCO_M_A_12
COCO_M_A_2,test,test,COCO_M_A,2,own_field,0,3,0,COCO_M_A_12
COCO_M_A_20,train,test,COCO_M_A,20,own_field,1,16,0,COCO_RECORTE_21
COCO_M_A_21,train,test,COCO_M_A,21,own_field,0,12,0,COCO_RECORTE_21
COCO_M_A_23,train,test,COCO_M_A,23,own_field,0,14,0,COCO_RECORTE_21
COCO_M_A_24,train,test,COCO_M_A,24,own_field,1,28,0,COCO_RECORTE_21
COCO_M_A_25,test,test,COCO_M_A,25,own_field,0,7,0,COCO_RECORTE_21
COCO_M_A_26,train,test,COCO_M_A,26,own_field,0,14,0,COCO_RECORTE_21
COCO_M_A_27,test,test,COCO_M_A,27,own_field,0,8,0,COCO_RECORTE_21
COCO_M_A_28,train,test,COCO_M_A,28,own_field,3,33,0,COCO_RECORTE_21
COCO_M_A_29,train,test,COCO_M_A,29,own_field,1,13,0,COCO_RECORTE_21
COCO_M_A_3,test,test,COCO_M_A,3,own_field,0,16,0,COCO_M_A_12
COCO_M_A_30,val,test,COCO_M_A,30,own_field,2,10,0,COCO_RECORTE_21
COCO_M_A_31,train,test,COCO_M_A,31,own_field,0,10,0,COCO_RECORTE_21
COCO_M_A_32,train,test,COCO_M_A,32,own_field,0,22,0,COCO_RECORTE_21
COCO_M_A_33,train,test,COCO_M_A,33,own_field,0,5,0,COCO_RECORTE_21
COCO_M_A_34,test,test,COCO_M_A,34,own_field,0,12,0,COCO_RECORTE_21
COCO_M_A_35,test,test,COCO_M_A,35,own_field,0,29,0,COCO_RECORTE_21
COCO_M_A_37,test,test,COCO_M_A,37,own_field,1,6,0,COCO_RECORTE_21
COCO_M_A_38,train,test,COCO_M_A,38,own_field,0,15,0,COCO_RECORTE_21
COCO_M_A_39,test,test,COCO_M_A,39,own_field,0,11,0,COCO_RECORTE_21
COCO_M_A_4,train,test,COCO_M_A,4,own_field,1,18,0,COCO_M_A_12
COCO_M_A_40,train,train,COCO_M_A,40,own_field,0,4,0,COCO_RECORTE_39
COCO_M_A_41,train,train,COCO_M_A,41,own_field,2,12,0,COCO_RECORTE_39
COCO_M_A_42,train,train,COCO_M_A,42,own_field,1,16,0,COCO_RECORTE_39
COCO_M_A_43,train,train,COCO_M_A,43,own_field,0,12,0,COCO_RECORTE_39
COCO_M_A_44,train,train,COCO_M_A,44,own_field,0,13,0,COCO_RECORTE_39
COCO_M_A_45,train,train,COCO_M_A,45,own_field,0,32,0,COCO_RECORTE_39
COCO_M_A_46,train,train,COCO_M_A,46,own_field,0,12,0,COCO_RECORTE_39
COCO_M_A_47,train,train,COCO_M_A,47,own_field,5,25,0,COCO_RECORTE_39
COCO_M_A_48,train,train,COCO_M_A,48,own_field,0,22,0,COCO_RECORTE_39
COCO_M_A_49,train,train,COCO_M_A,49,own_field,0,15,0,COCO_RECORTE_39
COCO_M_A_5,val,test,COCO_M_A,5,own_field,1,16,0,COCO_M_A_12
COCO_M_A_50,train,train,COCO_M_A,50,own_field,0,16,0,COCO_RECORTE_39
COCO_M_A_51,train,train,COCO_M_A,51,own_field,0,16,0,COCO_RECORTE_39
COCO_M_A_53,train,train,COCO_M_A,53,own_field,0,10,0,COCO_RECORTE_39
COCO_M_A_54,train,train,COCO_M_A,54,own_field,1,19,0,COCO_RECORTE_39
COCO_M_A_55,train,train,COCO_M_A,55,own_field,1,9,0,COCO_RECORTE_39
COCO_M_A_56,val,train,COCO_M_A,56,own_field,0,13,0,COCO_RECORTE_39
COCO_M_A_57,test,train,COCO_M_A,57,own_field,1,30,0,COCO_RECORTE_39
COCO_M_A_59,train,train,COCO_M_A,59,own_field,1,18,0,COCO_RECORTE_39
COCO_M_A_6,train,test,COCO_M_A,6,own_field,0,10,0,COCO_M_A_12
COCO_M_A_61,train,val,COCO_M_A,61,own_field,0,17,0,COCO_RECORTE_47
COCO_M_A_62,train,val,COCO_M_A,62,own_field,0,26,0,COCO_RECORTE_47
COCO_M_A_63,train,val,COCO_M_A,63,own_field,1,14,0,COCO_RECORTE_47
