crop_stem,crop_split,crop_prefix,parent_stem,parent_split,parent_prefix,inliers,crop_containment_in_parent,area_ratio,evidence_type
COCO_RECORTE_1,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_100,train,COCO_RECORTE,COCO_Muy_A_70,test,COCO_Muy_A,89,1.0,3.375,sift_containment
COCO_RECORTE_103,train,COCO_RECORTE,COCO_Muy_A_74,train,COCO_Muy_A,37,1.0,2.8125,sift_containment
COCO_RECORTE_104,train,COCO_RECORTE,COCO_Muy_A_75,train,COCO_Muy_A,158,1.0,2.625,sift_containment
COCO_RECORTE_106,train,COCO_RECORTE,COCO_Muy_A_75,train,COCO_Muy_A,90,1.0,1.640625,sift_containment
COCO_RECORTE_107,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_108,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_109,train,COCO_RECORTE,COCO_Muy_A_83,train,COCO_Muy_A,75,1.0,3.0,sift_containment
COCO_RECORTE_110,train,COCO_RECORTE,ROYA_FONDO_50,train,ROYA_FONDO,38,1.0,2.625,sift_containment
COCO_RECORTE_111,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_113,train,COCO_RECORTE,ROYA_FONDO_28,train,ROYA_FONDO,31,1.0,2.6785714285714284,sift_containment
COCO_RECORTE_114,train,COCO_RECORTE,COCO_Muy_A_92,train,COCO_Muy_A,152,1.0,1.875,sift_containment
COCO_RECORTE_115,train,COCO_RECORTE,COCO_Muy_A_92,train,COCO_Muy_A,42,1.0,2.142857142857143,sift_containment
COCO_RECORTE_116,train,COCO_RECORTE,COCO_Muy_A_94,val,COCO_Muy_A,93,1.0,1.640625,sift_containment
COCO_RECORTE_117,train,COCO_RECORTE,COCO_Muy_A_94,val,COCO_Muy_A,140,1.0,1.875,sift_containment
COCO_RECORTE_119,train,COCO_RECORTE,COCO_Muy_A_99,train,COCO_Muy_A,280,1.0,3.0,sift_containment
COCO_RECORTE_123,train,COCO_RECORTE,COCO_Muy_A_102,train,COCO_Muy_A,98,1.0,2.6785714285714284,sift_containment
COCO_RECORTE_125,train,COCO_RECORTE,COCO_Muy_A_110,train,COCO_Muy_A,186,1.0,3.375,sift_containment
COCO_RECORTE_126,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_128,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_129,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_130,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_132,train,COCO_RECORTE,MINEIRO_184,train,MINEIRO,31,1.0,2.142857142857143,sift_containment
COCO_RECORTE_135,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_136,train,COCO_RECORTE,COCO_Muy_A_11,train,COCO_Muy_A,626,1.0,3.125,sift_containment
COCO_RECORTE_139,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_14,train,COCO_RECORTE,COCO_Muy_A_43,train,COCO_Muy_A,88,1.0,2.109375,sift_containment
COCO_RECORTE_141,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_142,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_143,train,COCO_RECORTE,COCO_Muy_A_31,train,COCO_Muy_A,129,1.0,3.0,sift_containment
COCO_RECORTE_146,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_147,train,COCO_RECORTE,COCO_M_A_24,train,COCO_M_A,486,1.0,3.75,sift_containment
COCO_RECORTE_148,train,COCO_RECORTE,COCO_M_A_23,train,COCO_M_A,105,1.0,2.625,sift_containment
COCO_RECORTE_15,train,COCO_RECORTE,COCO_Muy_A_44,train,COCO_Muy_A,42,1.0,4.21875,sift_containment
COCO_RECORTE_150,train,COCO_RECORTE,COCO_Muy_A_35,train,COCO_Muy_A,72,1.0,2.578125,sift_containment
COCO_RECORTE_151,train,COCO_RECORTE,MINADOR_39,train,MINADOR,66,1.0,2.142857142857143,sift_containment
COCO_RECORTE_152,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_156,train,COCO_RECORTE,COCO_Muy_A_35,train,COCO_Muy_A,114,1.0,3.4375,sift_containment
COCO_RECORTE_16,train,COCO_RECORTE,COCO_Muy_A_44,train,COCO_Muy_A,56,1.0,5.625,sift_containment
COCO_RECORTE_17,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_18,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_2,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_22,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_23,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_24,train,COCO_RECORTE,COCO_M_A_45,train,COCO_M_A,36,1.0,3.375,sift_containment
COCO_RECORTE_25,train,COCO_RECORTE,COCO_M_A_47,train,COCO_M_A,168,1.0,3.75,sift_containment
COCO_RECORTE_26,train,COCO_RECORTE,COCO_M_A_47,train,COCO_M_A,38,1.0,3.75,sift_containment
COCO_RECORTE_28,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_29,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_3,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_30,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_31,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_33,train,COCO_RECORTE,COCO_M_A_54,train,COCO_M_A,70,1.0,2.4107142857142856,sift_containment
COCO_RECORTE_34,train,COCO_RECORTE,COCO_M_A_54,train,COCO_M_A,35,1.0,2.8125,sift_containment
COCO_RECORTE_35,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_36,train,COCO_RECORTE,COCO_M_A_57,test,COCO_M_A,178,1.0,4.6875,sift_containment
COCO_RECORTE_4,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_40,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_41,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_43,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_44,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_46,train,COCO_RECORTE,,,,0,0.0,0.0,no_parent_found
COCO_RECORTE_47,train,COCO_RECORTE,COCO_M_A_78,train,COCO_M_A,62,1.0,2.142857142857143,sift_containment
